id,period,title,language
0,Spring 2026,AI Processes,English
1,Spring 2025,AI Robotics,English
2,Spring 2026,AI Robotics,English
3,Autumn 2026,AI Security,English
4,Spring 2024,AI i organisationer,Danish
5,Autumn 2024,AI i organisationer,English
6,Autumn 2025,AI i organisationer,English
7,Spring 2024,AI i organisationer,English
8,Spring 2025,AI i organisationer,English
9,Spring 2026,AI i organisationer,English
10,Autumn 2024,AI security: Principles - Practices and Policies - BSc,English
11,Autumn 2024,AI security: Principles - Practices and Policies - MSc,English
12,Autumn 2025,AI-integration i praksis: ledelse og metode,Danish
13,Autumn 2025,AI-integration i praksis: ledelse og metode,English
14,Autumn 2013,Academic Work and Communication,English
15,Autumn 2021,Adv. Data Science Specialization Project for K-CS (KSADSSP1PE),English
16,Autumn 2019,Advanced Algorithms,English
17,Autumn 2021,Advanced Algorithms,English
18,Autumn 2020,Advanced Algorithms,English
19,Autumn 2022,Advanced Algorithms,English
20,Autumn 2023,Advanced Algorithms,English
21,Autumn 2024,Advanced Algorithms,English
22,Autumn 2025,Advanced Algorithms,English
23,Spring 2014,Advanced Algorithms Seminar,English
24,Spring 2015,Advanced Algorithms Seminar,English
25,Spring 2016,Advanced Algorithms Seminar,English
26,Autumn 2023,Advanced Applied Statistics,English
27,Autumn 2024,Advanced Applied Statistics,English
28,Autumn 2025,Advanced Applied Statistics,English
29,Spring 2021,Advanced Applied Statistics and Multivariate Calculus,English
30,Autumn 2021,Advanced Applied Statistics and Multivariate Calculus,English
31,Autumn 2022,Advanced Applied Statistics and Multivariate Calculus,English
32,Autumn 2019,Advanced Data Systems,English
33,Autumn 2020,Advanced Data Systems,English
34,Autumn 2021,Advanced Data Systems,English
35,Autumn 2022,Advanced Data Systems,English
36,Autumn 2023,Advanced Data Systems,English
37,Autumn 2024,Advanced Data Systems,English
38,Autumn 2026,Advanced Game Studio,English
39,Spring 2014,Advanced Graphic Design,English
40,Autumn 2019,Advanced Machine Learning,English
41,Autumn 2025,Advanced Machine Learning for Computer Vision,English
42,Spring 2022,Advanced Machine Learning for Data Science,English
43,Autumn 2022,Advanced Network Science,English
44,Spring 2026,Advanced Programming in Rust,English
45,Autumn 2019,Advanced Programming - MSc CS,
46,Autumn 2020,Advanced Programming - MSc CS,
47,Autumn 2021,Advanced Programming - MSc CS,
48,Autumn 2022,Advanced Programming - MSc CS,
49,Autumn 2023,Advanced Programming - MSc CS,
50,Autumn 2024,Advanced Programming - MSc CS,
51,Autumn 2025,Advanced Programming - MSc CS,
52,Autumn 2019,Advanced Programming - Master (Professional education),
53,Spring 2017,Advanced Programming - Master (Professional education) (Autumn 2018) - MERGED with KSADPRO2KU,
54,Spring 2017,Advanced Programming - Master (Professional education),
55,Autumn 2019,Advanced Robotics,English
56,Autumn 2019,Advanced Robotics,
57,Autumn 2020,Advanced Robotics,
58,Autumn 2021,Advanced Robotics,
59,Autumn 2022,Advanced Robotics,
60,Autumn 2023,Advanced Robotics,
61,Autumn 2024,Advanced Robotics,
62,Autumn 2019,Advanced Security,English
63,Autumn 2019,Advanced Security,
64,Autumn 2020,Advanced Security,
65,Autumn 2021,Advanced Security,
66,Autumn 2022,Advanced Security,
67,Autumn 2023,Advanced Security,
68,Autumn 2024,Advanced Security,
69,Autumn 2019,Advanced Service Design,English
70,Autumn 2019,Advanced Software Analysis,English
71,Autumn 2020,Advanced Software Analysis,English
72,Autumn 2021,Advanced Software Analysis,English
73,Autumn 2022,Advanced Software Analysis,English
74,Autumn 2023,Advanced Software Analysis,English
75,Autumn 2024,Advanced Software Analysis,English
76,Spring 2014,Advanced Software Engineering,English
77,Spring 2015,Advanced Software Engineering,English
78,Spring 2016,Advanced Software Engineering,English
79,Spring 2017,Advanced Software Engineering - BSc,English
80,Spring 2017,Advanced Software Engineering - MSc,English
81,Spring 2017,Advanced Software Engineering - Master (Professional education),English
82,Spring 2018,Advanced Software Engineering - Master (Professional education),English
83,Spring 2019,Advanced Software Engineering - Master (Professional education),English
84,Autumn 2019,Advanced Topics in Game Studies,English
85,Autumn 2025,Advanced Topics in Robotics,English
86,Autumn 2021,Affect and Soma in Design,English
87,Autumn 2014,Akademisk arbejde og formidling,English
88,Autumn 2015,Akademisk arbejde og formidling,English
89,Autumn 2016,Akademisk arbejde og formidling,English
90,Autumn 2017,Akademisk arbejde og formidling,English
91,Autumn 2015,Algorithm Design,English
92,Autumn 2016,Algorithm Design,English
93,Autumn 2017,Algorithm Design,English
94,Autumn 2018,Algorithm Design - CS/SDT,English
95,Autumn 2013,Algorithm Design I,English
96,Autumn 2014,Algorithm Design I,English
97,Autumn 2013,Algorithm Design II,English
98,Autumn 2014,Algorithm Design II,English
99,Autumn 2015,Algorithm Design Project,English
100,Spring 2017,Algorithm Design Project,English
101,Spring 2018,Algorithm Design Project,English
102,Autumn 2019,Algorithm Design - MSc CS,English
103,Autumn 2018,Algorithm Design - MSc CS (Autumn 2018) - MERGED with 1012002U,English
104,Autumn 2020,Algorithm Design - MSc CS,English
105,Autumn 2021,Algorithm Design - MSc CS,English
106,Autumn 2022,Algorithm Design - MSc CS,English
107,Autumn 2023,Algorithm Design - MSc CS,English
108,Autumn 2024,Algorithm Design - MSc CS,English
109,Autumn 2025,Algorithm Design - MSc CS,English
110,Spring 2022,Algorithmic Fairness - Accountability and Ethics,English
111,Spring 2023,Algorithmic Problem Solving - BSc,English
112,Spring 2024,Algorithmic Problem Solving - BSc,English
113,Spring 2025,Algorithmic Problem Solving - BSc,English
114,Spring 2026,Algorithmic Problem Solving - BSc,English
115,Spring 2023,Algorithmic Problem Solving - MSc,English
116,Spring 2024,Algorithmic Problem Solving - MSc,English
117,Spring 2025,Algorithmic Problem Solving - MSc,English
118,Spring 2026,Algorithmic Problem Solving - MSc,English
119,Spring 2020,Algorithms and Data Structures,English
120,Spring 2014,Algorithms and Data Structures,English
121,Spring 2015,Algorithms and Data Structures,English
122,Spring 2016,Algorithms and Data Structures,English
123,Spring 2017,Algorithms and Data Structures,English
124,Spring 2018,Algorithms and Data Structures,English
125,Spring 2022,Algorithms and Data Structures (Spring 2019) - MERGED with KSALDAS1KU,English
126,Spring 2021,Algorithms and Data Structures,English
127,Spring 2022,Algorithms and Data Structures,English
128,Spring 2023,Algorithms and Data Structures,English
129,Spring 2024,Algorithms and Data Structures,English
