DRPPersonId,firstName,lastName
1,PRIS study group,&
2,Leen M.,'T Hart
3,Peter A C,'T Hoen
4,Leen M,'t Hart
5,Leen M.,'t Hart
6,Nils A.,'t Hart
7,Peter A C,'t Hoen
8,Andrea,'t Mannetje
9,Det Fragmentariske Institut for Komparative Tidslinjer,(FIKT)
10,International Multiple Sclerosis Genetics Consortium,(IMSGC)
11,NCD Risk Factor Collaboration,(NCD-RisC)
12,Jette Blands,(formand)
13,Verena Baake,(formerly Rödig
14,Gianluca,
15,X.,-G. Lu
16,I.,-K. Yoo
17,J.,-P. Coffin
18,J.,-P. Revol
19,J.,-Y. Grossiord
20,Henrik G,. Bruun
21,Marlene S,. Plejdrup
22,Ole,A Andreassen
23,Lucy,A Savitz
24,David,A Schoenfeld
25,Olafur,A Stefansson
26,Bygum,A
27,Geruo,A
28,Mahesh P,A
29,Recchia Fabio,A
30,V.,A. Balagopal
31,J.,A. Barrio
32,C.,A. Carrillo Montoya
33,Maria,A. Cunha e Sá
34,H.,A. Erdal
35,M.,A. Janik
36,S.,A. Khan
37,M.,A. Lisa
38,M.,A. Mazzoni
39,D.,A. Moreira De Godoy
40,A.,A. P. Suaide
41,C.,A. Pruneau
42,E.,A. R. Casula
43,R.,A. Ricci
44,M.,A. S. Figueredo
45,C.,A. Salgado
46,Adrian,A. Santamaria Lancia
47,P.,A. Scott
48,M.,A. Subieta Vasquez
49,M.,A. Subieta Vásquez
50,Mads,A. Sørensen
51,Eagle Kim,A.
52,Mensah George,A.
53,Roth Gregory,A.
54,no-firstname,AID ICU Trial Grp
55,M. O.U.G.,AL-BAKRI
56,Nour,AL-Mousawi
57,The,ALICE Collaboration
58,Faisal,ALMuhizi
59,Mattias,AS Henning
60,", ROY ALIA",ASIKU
61,Anna J.M.,Aabakke
62,Rune,Aabenhus
63,Frederik L.,Aaberg
64,Kirsten,Aaberg
65,Charlotte,Aaberg-Jessen
66,Jens,Aabling
67,Rasmus Roost,Aabling
68,Søren,Aabo
69,Jens,Aaboe
70,Mia,Aaboe-Jørgensen
71,Christian Martin,Aabro
72,Jens Bull,Aaby
73,Peter,Aaby
74,Svanhild,Aabø
75,Finn L.,Aachmann
76,Niels Jacob,Aachmann-Andersen
77,G.,Aad
