paperUUID,keywordId
f99a0a02-6ef7-474b-a189-762e72c7aade,201
f99a0a02-6ef7-474b-a189-762e72c7aade,301
f99a0a02-6ef7-474b-a189-762e72c7aade,213
f99a0a02-6ef7-474b-a189-762e72c7aade,201
f99a0a02-6ef7-474b-a189-762e72c7aade,785
f99a0a02-6ef7-474b-a189-762e72c7aade,303
f99a0a02-6ef7-474b-a189-762e72c7aade,786
f99a0a02-6ef7-474b-a189-762e72c7aade,208
f99a0a02-6ef7-474b-a189-762e72c7aade,222
f99a0a02-6ef7-474b-a189-762e72c7aade,28
f99a0a02-6ef7-474b-a189-762e72c7aade,111
f99a0a02-6ef7-474b-a189-762e72c7aade,70
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,787
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,788
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,789
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,790
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,791
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,8
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,222
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,519
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,792
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,238
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,182
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,793
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,217
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,794
ad57a1c8-b684-4d9c-98e6-01787150f335,213
ad57a1c8-b684-4d9c-98e6-01787150f335,237
ad57a1c8-b684-4d9c-98e6-01787150f335,187
ad57a1c8-b684-4d9c-98e6-01787150f335,201
ad57a1c8-b684-4d9c-98e6-01787150f335,301
ad57a1c8-b684-4d9c-98e6-01787150f335,519
ad57a1c8-b684-4d9c-98e6-01787150f335,519
ad57a1c8-b684-4d9c-98e6-01787150f335,795
ad57a1c8-b684-4d9c-98e6-01787150f335,22
ad57a1c8-b684-4d9c-98e6-01787150f335,796
37c5b31f-8062-407f-b6af-6067a8503a5e,238
37c5b31f-8062-407f-b6af-6067a8503a5e,77
37c5b31f-8062-407f-b6af-6067a8503a5e,797
37c5b31f-8062-407f-b6af-6067a8503a5e,201
37c5b31f-8062-407f-b6af-6067a8503a5e,301
37c5b31f-8062-407f-b6af-6067a8503a5e,105
37c5b31f-8062-407f-b6af-6067a8503a5e,798
37c5b31f-8062-407f-b6af-6067a8503a5e,222
37c5b31f-8062-407f-b6af-6067a8503a5e,10
37c5b31f-8062-407f-b6af-6067a8503a5e,729
37c5b31f-8062-407f-b6af-6067a8503a5e,122
37c5b31f-8062-407f-b6af-6067a8503a5e,702
37c5b31f-8062-407f-b6af-6067a8503a5e,70
37c5b31f-8062-407f-b6af-6067a8503a5e,685
37c5b31f-8062-407f-b6af-6067a8503a5e,792
37c5b31f-8062-407f-b6af-6067a8503a5e,799
37c5b31f-8062-407f-b6af-6067a8503a5e,800
37c5b31f-8062-407f-b6af-6067a8503a5e,466
37c5b31f-8062-407f-b6af-6067a8503a5e,644
80eba546-1c77-4811-9318-cbd178c454c9,238
80eba546-1c77-4811-9318-cbd178c454c9,77
80eba546-1c77-4811-9318-cbd178c454c9,105
80eba546-1c77-4811-9318-cbd178c454c9,798
