paperUUID,personUUID,personName,personLastname,externalContributor,role
f99a0a02-6ef7-474b-a189-762e72c7aade,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,,Jeppe,Nielsen,true,Author
efe40ace-cdbd-4ba7-95c8-564821b3c3c7,,Kasper Trolle,Elmholdt,true,Author
1b6f2c9a-c1e8-4431-96b7-e46d484d09e9,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
ad57a1c8-b684-4d9c-98e6-01787150f335,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
ad57a1c8-b684-4d9c-98e6-01787150f335,,Jeppe Agger,Nielsen,true,Author
37c5b31f-8062-407f-b6af-6067a8503a5e,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
80eba546-1c77-4811-9318-cbd178c454c9,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
7f1ac56b-4774-4f11-a95c-491a37a9d7c8,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
7f1ac56b-4774-4f11-a95c-491a37a9d7c8,,Jeppe Agger,Nielsen,true,Author
7f1ac56b-4774-4f11-a95c-491a37a9d7c8,,Andrea,Carugati,true,Author
63527c7b-ce38-4ae3-bf7a-09bdddaabe75,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
63527c7b-ce38-4ae3-bf7a-09bdddaabe75,,Jeppe,Nielsen,true,Author
ee6b1f90-adbd-4736-9cb1-92b2b2ae6005,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
ee6b1f90-adbd-4736-9cb1-92b2b2ae6005,,Jeppe,Agger Nielsen,true,Author
7b6bfac0-1059-420b-9449-99a491359a42,6b81fcf4-173e-4e8b-86d6-2c9e7b4320c6,Jon,Aaen,false,Author
22e4e1f7-4bd7-43c6-a633-44ea9764b958,,Jeppe,Aagaard Glud,true,Author
22e4e1f7-4bd7-43c6-a633-44ea9764b958,,Kevin Helge,Hansen-Schwartz,true,Author
22e4e1f7-4bd7-43c6-a633-44ea9764b958,,Raffaele,Ciriello,false,Author
d66462d0-7f70-489c-b339-5c637407b797,,Margunn,Aanestad,true,Author
d66462d0-7f70-489c-b339-5c637407b797,,Nina,Boulus,false,Author
0a1670e7-be11-400c-bd21-7393075d15dd,,Margunn,Aanestad,true,Author
0a1670e7-be11-400c-bd21-7393075d15dd,,Nina,Boulus,false,Author
b98804e8-2ce1-498a-8568-ef53e9455844,,Leena,Aarikka-Stenroos,true,Author
b98804e8-2ce1-498a-8568-ef53e9455844,,Mar,Alaranta,false,Author
cd0dfae0-830a-11dd-b116-000ea68e967b,,Espen,Aarseth,false,Author
591e52c0-862e-11dd-8006-000ea68e967b,,Espen,Aarseth,false,Author
f2993e8b-c9b9-4925-9808-87c337b8cb03,,Espen,Aarseth,false,Author
f2993e8b-c9b9-4925-9808-87c337b8cb03,,Mathias,Fuchs,true,Author
7e1e84e7-2c54-4122-87d2-6a6c5e3d99dc,,Espen,Aarseth,false,Author
04d057b4-fe9f-4953-a73e-45afb2718d20,,Espen,Aarseth,false,Author
242d6520-bfbe-4b7d-a84e-c596ac99d868,,Espen,Aarseth,false,Author
569ad177-f013-476d-bede-0f3e46ddc71a,,Espen,Aarseth,false,Author
c2de0411-0417-4d45-b3a8-6f11f2c0974d,,Espen,Aarseth,false,Editor
2ef22931-a9bc-4a9f-846b-0fd1e73960a3,,Espen,Aarseth,false,Editor
70c44117-395c-47c8-9832-6f38d872a74a,,Espen,Aarseth,false,Editor
815c1f2e-ab99-41ce-9ada-24676062ecaf,,Espen,Aarseth,false,Author
d5df346c-7eb1-435c-b45b-6045ad8e1e99,,Espen,Aarseth,false,Author
171c21a8-c776-4a6f-a893-f6a8e2c9656c,,Espen,Aarseth,false,Editor
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Espen,Aarseth,false,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Anthony,Bean,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,80784458-06f6-4eff-b0c8-df982ffa9835,Rune Kristian Lundedal,Nielsen,false,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Huub ,Boon,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Michelle,Carras,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Mark,Coulson,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Dimitri,Das,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Jory,Deleuze,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Elza,Dunkels,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Johan,Edman,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Chris,Ferguson,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Maria,Haagsma,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Karin,Bergmark,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Zaheer,Hussain,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Jeroen,Jansz,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Daniel,Kardefelt-Winther,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Lawrence,Kutner,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Patrick,Markey,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Nicole,Prause,true,Author
54c040e5-4b5a-4d19-8625-0b715b5c204f,,Andrew ,Przybylski,true,Author
