projectUUID;personName;personLastName;role;externalContributor;personUUID
6a4bfd9a-0ada-42ee-a458-1dcb9158027c;Maria Jung;Barrett;PI;FALSE;ffc6db77-95ed-452f-92ac-ca143a9db73c
c52de284-a5d5-4e86-b024-ee1508c043e5;Joachim Winther;Pedersen;CoI;FALSE;ff6f398b-4bde-46da-a460-9815134b42eb
47e06774-9088-4465-8ab8-f8c27cd731d6;Joachim Winther;Pedersen;CoI;FALSE;ff6f398b-4bde-46da-a460-9815134b42eb
c8211d83-460f-41fa-b8cf-b8c031b8b18b;Joachim Winther;Pedersen;CoI;FALSE;ff6f398b-4bde-46da-a460-9815134b42eb
39d18547-01f7-4fbc-9794-cb87a4530afb;Joachim Winther;Pedersen;CoI;FALSE;ff6f398b-4bde-46da-a460-9815134b42eb
4c04ec87-4051-4ede-a971-ff8badc270f6;Mahya Mohammadi;Kashani;CoI;FALSE;fea53dc2-758b-4dc3-962c-68e0b52d2925
9f77d6e9-c0a5-4560-94ba-9451dc779f58;Christoph;Seidl;PI;FALSE;fda8c630-1b0a-4910-ae2a-602850616275
4c04ec87-4051-4ede-a971-ff8badc270f6;Sergio Daniel;Quijano;CoI;FALSE;fc57a764-276e-463a-aa68-fa54ffaf31d6
4bb672ed-bd49-4087-9326-eaa97f21976d;Camille ;Rønn;CoI;FALSE;fc4a63b2-8edf-4d1c-94a4-2cbfe61adf48
0e937186-7936-4856-849b-95334a99a6af;Mahsa ;Varshosaz;CoI;FALSE;fb4b9d17-f1ec-466b-b222-caba06823edc
4c04ec87-4051-4ede-a971-ff8badc270f6;Mahsa ;Varshosaz;CoI;FALSE;fb4b9d17-f1ec-466b-b222-caba06823edc
cd1658f4-8302-49a8-9a71-d42f7168fc36;Mahsa ;Varshosaz;CoI;FALSE;fb4b9d17-f1ec-466b-b222-caba06823edc
1395e452-c10b-4f53-ad5e-0dbb33a231ce;Mahsa ;Varshosaz;CoI;FALSE;fb4b9d17-f1ec-466b-b222-caba06823edc
c0f83230-1cd4-4d68-bd34-43f6f0fc71fb;Mahsa ;Varshosaz;CoI;FALSE;fb4b9d17-f1ec-466b-b222-caba06823edc
2c5def6b-8c33-4364-bc74-aa8f73ecfcca;Mahsa ;Varshosaz;PI;FALSE;fb4b9d17-f1ec-466b-b222-caba06823edc
c8211d83-460f-41fa-b8cf-b8c031b8b18b;Noah Brunken;Syrkis;CoI;FALSE;faf0279a-dd8c-47b7-9570-3570c0ac803c
abcfded3-fae9-4da5-97e5-658a188a0190;Jaike van;Twiller;CoI;FALSE;fa03d816-cd99-4fea-b45b-efe7ecd3cb0a
85b6aad6-1170-4acc-9a63-f74283faf636;Jaike van;Twiller;Collaborator;FALSE;fa03d816-cd99-4fea-b45b-efe7ecd3cb0a
8d741a26-ea5c-4c69-9dab-6341052e48e3;Clément ;Sebastiao;CoI;FALSE;f72688e0-ad8f-4dc2-bb6b-c22fa14164c3
eca259ab-ea40-4758-bbb5-6533b2c39916;Signe Louise;Yndigegn;CoI;FALSE;f6921641-1f0a-4e24-a3a9-546e3927ab72
190c1b56-5561-4a2a-88e1-d4aab076ddff;Signe Louise;Yndigegn;CoI;FALSE;f6921641-1f0a-4e24-a3a9-546e3927ab72
3fdee8d2-5455-4d30-87d7-3e036f3484c3;Signe Louise;Yndigegn;CoI;FALSE;f6921641-1f0a-4e24-a3a9-546e3927ab72
c7ff4234-d9d4-4a7d-92c0-23b4c971bfe9;Signe Louise;Yndigegn;CoI;FALSE;f6921641-1f0a-4e24-a3a9-546e3927ab72
3f6a03a7-6217-4d70-9bf5-0c229cf768f3;Signe Louise;Yndigegn;CoI;FALSE;f6921641-1f0a-4e24-a3a9-546e3927ab72
dded96d9-89f4-4348-ab14-034dcd34c54f;Signe Louise;Yndigegn;PI;FALSE;f6921641-1f0a-4e24-a3a9-546e3927ab72
4e71f778-5873-4ed5-9b4e-8001c56dc41c;Signe Louise;Yndigegn;PI;FALSE;f6921641-1f0a-4e24-a3a9-546e3927ab72
5c14f2cf-9f83-4b48-b608-8f504edc970c;Peter;Kun;CoI;FALSE;f30d35c6-4320-476f-8506-481764e6009e
b8e7e99f-03aa-4db2-86bc-472ae6f42745;Claire;Glanois;CoI;FALSE;f2b81a70-1d6c-42d1-a3b5-1d4338be4b8c
47e06774-9088-4465-8ab8-f8c27cd731d6;Claire;Glanois;CoI;FALSE;f2b81a70-1d6c-42d1-a3b5-1d4338be4b8c
28c482c8-3f29-4c4d-abae-c3ea636d65c1;Anders Weile;Larsen;CoI;FALSE;f2a38db0-49a6-4252-af15-8586639f1b6e
2ca6fcc0-4e7d-4fb9-b4cb-12e19d6338cd;Anders Weile;Larsen;CoI;FALSE;f2a38db0-49a6-4252-af15-8586639f1b6e
3b8ce2ea-b68a-4ae4-bf69-6ed08940fa57;Anders Weile;Larsen;PI;FALSE;f2a38db0-49a6-4252-af15-8586639f1b6e
54be9d4e-0d3a-4b8a-b908-4989018a10e5;Alena;Thiel;PI;FALSE;f240d002-893f-45bd-b9ad-6a6ddc015e40
ed296174-b109-491c-a0c5-1acf38e8c907;Alena;Thiel;PI;FALSE;f240d002-893f-45bd-b9ad-6a6ddc015e40
52636f43-4fb0-43ed-8c56-b644ddd62be9;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
dc13ab93-8585-4c80-99ee-2daa95ba51eb;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
a2f4b3e2-31c0-4a77-a4cc-05980e763c2d;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
4cac7654-2655-4c1b-b201-1ef33d01b353;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
516eb84c-8047-484a-8d11-dcb7976fc2bf;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
46950efa-4ab3-4646-9458-a5a6c128d967;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
249c41f8-3d16-4033-bfc1-695487446106;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
90ea8ed3-a495-4998-b22b-0dc362de76f7;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
61a964d6-a6c1-4364-a2b9-0c1504474ad6;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
7a35b865-2730-45a6-8fdc-b508699fa03a;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
4c2b07e4-55c6-44be-947a-9f764eeaf31e;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
119e304c-6427-40e5-95fd-e802aabd518e;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
0ae11a14-eed2-4bb8-a3e2-657776e7772c;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
8f5fad3c-1aee-432c-8ad4-77c851de79a5;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
445b877c-2def-4421-9ffd-1d072bdb81d2;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
e4d8b5ee-d587-4cb3-9bb7-048fa82923f3;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
d19f470d-b304-44f2-b5f0-e08d54bbabbc;Yvonne ;Dittrich;PI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
d6e92b00-b7c2-44f7-b96f-da3e9d8c7681;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
19e2ba95-373f-4091-9ca6-3cef5331bacb;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
1b488dd3-466a-4eef-a9ce-74ccca2cb4d9;Yvonne ;Dittrich;CoI;FALSE;f2136570-f73c-446f-9fb0-6d9e461e2124
2b7b3917-2b7f-4064-aa9c-6536d1384b1f;Oliver;Krancher;PI;FALSE;f14f4742-c9d8-4a34-b8e2-d713c3a1f437
a3b32cef-4240-4466-b3d1-3da4b4b67746;Oliver;Krancher;PI;FALSE;f14f4742-c9d8-4a34-b8e2-d713c3a1f437
17f194cc-53d3-4cd7-95ef-13587882768e;Oliver;Krancher;PI;FALSE;f14f4742-c9d8-4a34-b8e2-d713c3a1f437
f7764606-bd49-458c-b2f1-c4ba99bdf3e2;Oliver;Krancher;PI;FALSE;f14f4742-c9d8-4a34-b8e2-d713c3a1f437
e5c8d972-7458-4f2b-aa1e-c7439bfd3aa0;Oliver;Krancher;PI;FALSE;f14f4742-c9d8-4a34-b8e2-d713c3a1f437
f425df35-7a88-41a1-9d8d-ced2bd55e700;Ask Greve;Johansen;CoI;FALSE;f14a5893-8cba-4ed5-b066-55c2ea626d24
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2;Rachel ;Douglas-Jones;CoI;FALSE;f11b0cc1-ad9f-4b12-b805-65b70e5bcd65
47ecae24-c424-4de9-9a67-c937eb1fa065;Rachel ;Douglas-Jones;CoI;FALSE;f11b0cc1-ad9f-4b12-b805-65b70e5bcd65
88d75831-25f7-4350-844d-9205d4c998d5;Rachel ;Douglas-Jones;PI;FALSE;f11b0cc1-ad9f-4b12-b805-65b70e5bcd65
4bc1a5b1-e2c9-4c56-8f85-8e2e5474b0a4;Rachel ;Douglas-Jones;PI;FALSE;f11b0cc1-ad9f-4b12-b805-65b70e5bcd65
