jobTitleId,jobTitle
1,PhD fellow
2,Postdoc
3,Assistant Professor
4,Associate Professor
5,Professor
6,Head of Center
7,Head of Research Group
8,Head of Section
9,Head of PhD School
10,Head of Research
11,Head of Education
12,Head of Programme
13,Co-Head of Programme
14,Lab Head
15,Head of Management Secretariat
16,Head of Finance
17,Head of HR
18,Head of Student Affairs &amp; Programmes
19,PhD fellow (industrial)
20,PhD fellow (enrolled/guest)
21,PhD fellow (4+4)
22,Postdoc (industrial)
23,Lab Assistant
24,Lab Manager
25,Academic Officer
26,Board Member
27,Chief Consultant
28,Part-time lecturer
29,Guest
30,Guest Lecturer
31,Guest Researcher
32,Professor Emeritus
33,Prorector
34,Rector
35,Special Consultant
36,Student Worker
37,Teaching Assistant
38,University Director
39,Research Assistant
40,Internship Guest
41,Assistant Lecturer
42,Academic Head
43,Vice Dean of Research
44,External consultant
45,Academic employee
46,Adjunct professor
47,Visiting Researcher
48,"IT Employee, hourly paid"
49,Consultant
50,Project Worker
51,Part-time Lecturer
52,Academic Staff
53,Special Adviser
54,PhD fellow (enrolled)
55,Senior Administrative Staff
56,PhD student (Sys. ext.)
57,Temp/Temporary Worker
58,"PhD student (4+4, part 2)"
59,Student Programmer
60,Computing Officer
61,Office Clerk
62,Student Worker (external)
63,Ph.d. fellow (industrial)
64,Erasmus
