id,period,title
0,Spring 2026,AI Processes
1,Spring 2014,AI Processes
2,Spring 2025,AI Robotics
3,Spring 2014,AI Robotics
4,Spring 2014,AI Robotics
5,Autumn 2026,AI Security
6,Spring 2024,AI i organisationer
7,Spring 2014,AI i organisationer
8,Spring 2014,AI i organisationer
9,Spring 2014,AI i organisationer
10,Spring 2014,AI i organisationer
11,Spring 2014,AI i organisationer
12,Autumn 2024,AI security: Principles - Practices and Policies - BSc
13,Autumn 2024,AI security: Principles - Practices and Policies - MSc
14,Autumn 2025,AI-integration i praksis: ledelse og metode
15,Spring 2014,AI-integration i praksis: ledelse og metode
16,Spring 2014,Academic Work and Communication
17,Spring 2014,Adv. Data Science Specialization Project for K-CS (KSADSSP1PE)
18,Autumn 2019,Advanced Algorithms
19,Autumn 2021,Advanced Algorithms
20,Autumn 2021,Advanced Algorithms
21,Autumn 2021,Advanced Algorithms
22,Autumn 2021,Advanced Algorithms
23,Autumn 2021,Advanced Algorithms
24,Autumn 2021,Advanced Algorithms
25,Autumn 2021,Advanced Algorithms
26,Autumn 2021,Advanced Algorithms
27,Autumn 2021,Advanced Algorithms Seminar
28,Autumn 2021,Advanced Algorithms Seminar
29,Autumn 2021,Advanced Algorithms Seminar
30,Autumn 2023,Advanced Applied Statistics
31,Autumn 2021,Advanced Applied Statistics
32,Autumn 2021,Advanced Applied Statistics
33,Autumn 2021,Advanced Applied Statistics
34,Spring 2021,Advanced Applied Statistics and Multivariate Calculus
35,Autumn 2021,Advanced Applied Statistics and Multivariate Calculus
36,Autumn 2021,Advanced Applied Statistics and Multivariate Calculus
37,Autumn 2021,Advanced Applied Statistics and Multivariate Calculus
38,Autumn 2019,Advanced Data Systems
39,Autumn 2021,Advanced Data Systems
40,Autumn 2021,Advanced Data Systems
41,Autumn 2021,Advanced Data Systems
42,Autumn 2021,Advanced Data Systems
43,Autumn 2021,Advanced Data Systems
44,Autumn 2021,Advanced Data Systems
45,Autumn 2026,Advanced Game Studio
46,Autumn 2021,Advanced Graphic Design
47,Autumn 2019,Advanced Machine Learning
48,Autumn 2025,Advanced Machine Learning for Computer Vision
49,Spring 2022,Advanced Machine Learning for Data Science
50,Autumn 2022,Advanced Network Science
51,Spring 2026,Advanced Programming in Rust
52,Autumn 2019,Advanced Programming - MSc CS
53,Spring 2017,Advanced Programming - MSc CS
54,Spring 2017,Advanced Programming - MSc CS
55,Spring 2017,Advanced Programming - MSc CS
56,Spring 2017,Advanced Programming - MSc CS
57,Spring 2017,Advanced Programming - MSc CS
58,Spring 2017,Advanced Programming - MSc CS
59,Spring 2017,Advanced Programming - MSc CS
60,Autumn 2019,Advanced Programming - Master (Professional education)
61,Spring 2017,Advanced Programming - Master (Professional education) (Autumn 2018) - MERGED with KSADPRO2KU
